Company,Phone,Fax,Web,Sector(s),Product,Nationality,Address,Additional1,Additional2
Niche Generics Limited,+353 1 8392372,,www.nichegenerics.com,Bio Pharmaceuticals,Pharmaceutical Tabletting,India,Unit 5 151 Baldoyle Industrial Estate  Dublin Dublin Ireland,,
Human Scale International Holdings Limited,+353 1 8580910,+353 1 8580921,www.humanscale.com,ICT- ICT - Hardware,Chairs,United States of America,IDA Industrial Estate Poppintree  Dublin Dublin Ireland,,
Abbott Ireland Diagnostics Division,+353 71 9171712,+353 71 9171718,www.abbott.com,Medical Technology,Diagnostics,United States of America,Finisklin Business Park   Sligo Sligo Ireland,,
National Instruments Ireland Resources Ltd.,+353 1 2475900,+353 1 2475902,www.ni.com,ICT,Shared Services ,United States of America,Unit 302 | Omni Business Park | Swords Road   Santry Dublin Ireland,,
Baxter Healthcare SA,+353 94 9022244,+353 94 9022956,www.baxter.com,Medical Technology,Renal care products,United States of America,Moneen Road   Castlebar Mayo Ireland,,
Burgmann Packings Limited,+353 1 4047010,,www.burgmann-packings.com,Engineering,Sealing products,Germany,48 Cookstown Industrial Estate   Tallaght Dublin Ireland,,
Trimfold Envelopes Limited,+353 469431497,+353 469436049,,,Envelopes,Germany,Duggan Industrial Estate   Trim Meath Ireland,,
Abb Limited,+353 429385100,+353 429385124,www.abb.com/ie,Engineering,Paper Production, Measuring & Control Devices,Switzerland,Finnabair Industrial Park   Dundalk Louth Ireland,
Avaya International Sales Limited,+353 1 2075600,,www.avaya.ie,ICT, Software Research and Development,United States of America,The Atrium Block A Blackthorn RoadSandyford Business ParkSandyford Dublin Dublin Ireland,,
IQVIA,+353 1 8195100,+353 1 8099500,https://www.iqvia.com/,Business Services,Data Processing Of Medical Clinical Trials.,United States of America,East Point Business Park Fairview  Dublin Dublin Ireland,,
Astellas Ireland Company Limited,+353 66 9792300,+353 66 9762013,www.astellas.com,Bio Pharmaceuticals,Finished Pharmaceuticals,Japan,Bansha   Killorglin Kerry Ireland,,
Dialogic Distribution Limited,+353 1 6309000,,www.dialogic.com,ICT- ICT - Software,Communications Software development and technical support,United States of America,Unit O3 Northring Business Park Santry Dublin Dublin Ireland,,
BNP Paribas CIB (Ireland),+353 1 6125000,+353 1 6125100,www.bnpparibas.com,Financial Services,Offers a broad range of corporate and investment banking products - provides full cash management and trade finance facilities incl. full access to the local paper and electronic payment, clearing systems,France,5 George's Dock IFSC  Dublin Dublin Ireland,
Qbe Re Europe,+353 1 6053800,+353 1 6053600,www.qbeeurope.com,Financial Services,International and US casualty, property, marine, aviation, personal accident
Intesa Sanpaolo Bank Ireland,+353 1 672 6720,+353 1 672 6727,www.intesasanpaolo.com,Financial Services,,Italy,3rd Floor  KBC House 4 George's Dock  Dublin Dublin Ireland,,
Rr Donnelley Global Turnkey Solutions,+353 61480500,,www.banta.com,Business Services,Global Logistics Management,United States of America,"Suite "" International Science Centre  NTP  Limerick Limerick Ireland",,
Harmac Medical Products Limited,+353 94 9621515,+353 94 9621520,www.harmac.com,Medical Technology,Medical Devices, Blow Moulding,United States of America,IDA Industrial Estate   Castlerea Roscommon Ireland,
Rowa Pharmaceuticals Limited,+353 2750077,+353 2750417,www.rowa.ie,Bio Pharmaceuticals,Finished Pharmaceuticals,Germany,Newtown   Bantry Cork Ireland,,
Wellman International Limited,+353 469280200,+353 469280300,www.wellman-intl.com,Consumer Goods,Polyester staple fibres for non-woven purposes from recycled PET (consumer plastic bottles) and R&D Centre,Singapore,   Mullagh Cavan Ireland,,
Helsinn Birex Pharmaceuticals ,+353 1 822 5404,+353 1 822 5410,www.helsinn.com,Bio Pharmaceuticals,Finished Pharmaceuticals,Switzerland,Damastown Mulhuddart  Dublin Dublin Ireland,,
BW Paper Systems,+353 906472691,+353 906475394,www.wardmachinery.com/,Engineering,Packaging Equipment,United States of America,Garrycastle   Athlone Westmeath Ireland,,
Orix Aviation,+353 1 2158000,,www.orixaviaiton,com,Financial Services,Asset Financing & Securities Trading ,Japan,Booterstown Hall Booterstown  Dublin Dublin Ireland,
Investec Ireland Limited,+353 1 4210000,+353 1 4210500,www.investec.com,Financial Services,Outsourcing, Structured Finance, Securities Trading ,United Kingdom,Investec Bank plc (Irish Branch) The Harcourt Building Harcourt Street Dublin Dublin Ireland
Pfizer Dublin Treasury Centre,+353 1 4484600,+353 1 4484698,,Financial Services,International Banking,United States of America,The Watermarque Building Ringsend  Dublin Dublin Ireland,,
Citi (Ireland HQ),+353 1 6222000,,www.citigroup.com/ireland,Financial Services,Cash and securities Processing,United States of America,Citigroup House 1 North Wall Quay  Dublin Dublin Ireland,,
Bijur Delimon International (Ireland),+353 656821543,+353 656829667,www.bijurdelimon.com,Engineering,Lubrication Systems for Machinery.,United States of America,Gort Road   Ennis Clare Ireland,,
BASF Ireland Limited,+353 21 4517100,+353 21 4353559,,Engineering,Ion-exchange Reagents & Chemically Active Ingredients,Germany,Little Island Industrial Estate   Cork Cork Ireland,,
Cartamundi Ireland Ltd,+353 51331100,+353 51331133,https://cartamundi.com/en/,Consumer Goods,Toys & Games,Belgium,Cork Road   Waterford Waterford Ireland,,
Kirchhoff Ireland Limited,+353 74 9122184,+353 74 9124932,www.kirchhoff.ie,Engineering,Automotive metal press parts & assemblies,Germany,Lisnenan Business Park Lisnenan  Letterkenny Donegal Ireland,,
Cascade Designs Limited,+353 21 4621450,+353 21 4613690,www.cascadedesigns.com,Consumer Goods,Camping Mattresses,United States of America,Enterprise Centre Dwyer Road  Midleton Cork Ireland,,
Elastometall Ireland Limited,+353 71 9855590,+353 71 9855591,www.elastometall.ie,Engineering,Rubber to metal bonded products, Vibration Stabilisers,Germany,Sligo Road   Manorhamilton Leitrim Ireland,
TR Southern Fasteners,+353 22 22301,+353 22 22056,www.trfastenings.com,Engineering,Stainless Steel bolts,United Kingdom,Mallow Business & Technology Park,   Mallow Cork Ireland,
Multi Packaging Solutions (Limerick),+353 61303500,+353 61304100,www.multipkg.com,Consumer Goods,Printed cartons,United States of America,Pearse Road Raheen Business Park  Limerick Limerick Ireland,,
Tente Limited,+353 71 9183414,+353 71 9183147,www.tente.de,Consumer Goods,Plastic Castors for Hospital,Germany,   Ballymote Sligo Ireland,,
Abbott Ireland,+353 71 9301800,+353 71 9301803,www.abbott.com,Medical Technology,Medical Devices,United States of America,Carbury Point Finisklin Business Park  Sligo Sligo Ireland,,
Waterford Carpets Limited T/A Tretford,+353 51 375941,+353 51379607,www.tretford.com,Consumer Goods,Non-Woven Carpets,Cyprus,Waterford Industrial Estate Cork Road  Waterford Waterford Ireland,,
Conductix Wampfler Limited,+353 59 6482413,+353 59 6481006,www.wampfler.ie,Engineering,Flexible Cable Systems,,Lathaleere   Baltinglass Wicklow Ireland,,
Safc Arklow Limited,+353 40231147,+353 40231147,www.safcpharma.com,Bio Pharmaceuticals,Pharmaceutical Intermediates,Germany,Vale Road   Arklow Wicklow Ireland,,
Aig Asset Management (Ireland) Limited,+353 1 6720222,+353 1 6720233,www.aig.com,Financial Services,Trust and Custody Services.  Provides investment advisory services for global equity, global fixed income, money market and alternative investment strategies for discretionary portfolios,United States of America,AIG Centre 30 North Wall Quay IFSC Dublin Dublin Ireland
Essidev SA,+353 656 895700,,www.essilor.com,Medical Technology,Plastic Spectacle Lenses,France,Gort Road Industrial Park Advance Factory  Ennis Clare Ireland,,
Mitsubishi Ufj Lease & Finance (Ireland) Limited,+353 1 6701822,+353 1 6701823,,,Provides airlines and non-airline clients with financing for various types of equipment including aircraft, vessel, semiconductor manufacturing equipment and industrial equipment,Japan,13 Upper Mount Street   Dublin 2 Dublin Ireland
Intl Investment & Underwriting Limited,+353 1 6054444,+353 1 6054470,,Financial Services,Proprietary Trading, Corporate & Structured Finance, Agency ,Ireland,IFSC House Custom House Quay  Dublin Dublin Ireland
Linedata Services (Ireland) Limited,+353 1 2937300,,www.gisltd.com,Financial Services,Software Support,France,Heather House Heather Road  Dublin Dublin Ireland,,
Depuy Synthes (Ireland),+353 214914000,+353 214914199,www.jnj.com,Medical Technology,Orthopaedic implants,United States of America,Loughbeg   Ringaskiddy Cork Ireland,,
Stryker Instruments (Springhill),+353 214532900,+353 214532961,www.stryker.com,Medical Technology,Blades and Burs for Powered Surgical Instruments,United States of America,IDA Industrial Estate   Carrigtwohill Cork Ireland,,
Pfizer Ireland Pharmaceuticals,+353 1 4694000,+353 1 4671127,www.pfizer.com,Bio Pharmaceuticals,Biopharmaceuticals,United States of America,Grange Castle Business Park Clondalkin  Dublin Dublin Ireland,,
Pepper Finance Corporation (Ire) Limited,+353 61 705952,+353 61 705715,www.gemoney.ie,,',Ireland,Westpark Business Campus Shannon Free Zone West  Shannon Clare Ireland,,
Dulux Paints Ireland Limited,+353 1 4556099,,www.ici.com,Engineering,Distribution of Paints (No manufacturing),Netherlands,Unit J  South City Business Park Tallaght  Dublin Dublin Ireland,,
Cara Partners,+353 21 4520500,+353 21 4520510,www.carapartners.ie,Bio Pharmaceuticals,Bulk Pharmaceuticals,Germany,Little Island Industrial Estate   Cork Cork Ireland,,
Bausch Health Ireland,+353 51355001,+353 51355639,www.bausch.com,Medical Technology,Contact Lenses and Pharmaceutical,Canada,Unit 424/425 Waterford Industrial Park  Waterford Waterford Ireland,,
Moog Ireland Ltd,+353 21 4519000,+353 21 4519001,www.moog.com,ICT- ICT - Hardware,Electro-Mechanical Servo Valves,United States of America,Barnahely   Ringaskiddy Cork Ireland,,
Stern Plastic,+353 214702400,+353 214702430,www.sternplastic.com,Engineering,Plastic Injection Moulded Parts,Germany,Barracks Lane   Kinsale Cork Ireland,,
Kci Medical Products Limited,+353 1 4659510,+353 1 4659500,www.kci-medical.com,,Trauma and Intensive Care BedsSub contract Trocar Rods,United Kingdom,Unit H 17 Centre Point Business Park  Dublin Dublin Ireland,,
Willis Management (Dublin) Limited,+353 1 661 6211,+353 1 661 4369,www.willis.com/ireland,Financial Services,Captive insurance management,United Kingdom,Grand Mill Quay Barrow Street  Dublin Dublin Ireland,,
Heyco Werk Ireland Limited,+353 96 70444,+353 96 70259,www.heyco.de,,Hand tools, door linings, plastic components,Germany,Bunree Road   Ballina Mayo Ireland
Stryker Orthopaedics Limerick,+353 61498200,+353 61229941,www.strykercorp.com,Medical Technology,Orthopaedic Implants and Cement,United States of America,Raheen Business Park   Limerick Limerick Ireland,,
Standex Ireland Limited,+353 578624350,+353 578624744,www.standex.com,Engineering,Pumps for Vending Machines,,MDA Irishtown   Mountmellick Laois Ireland,,
Rr Donnelley Global Turnkey Solutions,+353 21 4397515,+353 21 4397459,www.banta.com,Business Services,Global Logistics Management,United States of America,Hollyhill Industrial Estate Hollyhill  Cork Cork Ireland,,
Taylor Made Glass and Systems Limited,+353 504 31411,+353 504 31986,www.taylormarine.com,Engineering,Curved tempered safety glass, sidebody & rooflights,United States of America,Railway Road   Templemore Tipperary North Ireland,
Dell Products,+353 61304091,+353 61304090,www.dell.ie,ICT- ICT - Hardware,EMEA Services and Command and Control Centre,United States of America,EMFI Building  1 Raheen Business Park  Limerick Limerick Ireland,,
Bristol Myers Squibb International Co (Treasury,+353 1 6761120,+353 1 6761125,,Financial Services,Provides long & short-term finance to affiliates, Pan-European and Asian cash management, foreign exchange risk management, global multi-lateral netting, intra-group leasing and investment management
Siemens Limited,+353 1 2162000,+353 1 2162078,www.siemens.com,ICT- ICT - Software,Building technologies & Energy management, Industrial Automation Software,,Clonshaugh Business & Technology Park   Dublin Dublin Ireland,
Thermo Air Ireland Limited,+353 599131646,+353 599142174,www.thermoair.ie,,Design and manufacture of bespoke Air Handling Units and Innovative Air Movement Solutions,Netherlands,Industrial Estate Strawhall Athy Road Carlow Carlow Ireland,,
Clariant Plastics & Coatings (Ireland) Limited,+353 45866565,+353 45875765,www.clariantmasterbatches.com,Consumer Goods,Materbatches for the plastic industry,Switzerland,Monread Industrial Estate   Naas Kildare Ireland,,
General Monitors Ireland Ltd,+353 91 751175,+353 91 751317,www.generalmonitors.com,ICT- ICT - Hardware,Instrument Engineering,United States of America,Ballybrit Business Park    Galway Ireland,,
Packo Blackwater Limited,+353 29 56097,+353 29 56123,www.fullwoodpacko.ie,Engineering,Bulk Milk Tanks,United Kingdom,Ballymaquirke   Kanturk Cork Ireland,,
Gernord Limited,+353 42 9661060,+353 42 9662370,www.gerflor.com,Consumer Goods,PVC Vinyl Flooring,France,Ballybay Road   Carrickmacross Monaghan Ireland,,
Kostal Ireland Gmbh,+353 6831444,+353 6831674,www.kostal.com,Engineering,Electronic components, Sensors, Automotive Parts - Electronics,Germany,Mountmahon   Abbeyfeale Limerick Ireland
Crown Paints Ireland,+353 1 8164400,+353 1 8478831,www.crownpaints.ie,Engineering,Paints,Netherlands,Malahide Road Coolock  Dublin Dublin Ireland,,
Rusal Aughinish Limited,+353 61604000,+353 61604031,www.rusal.ru/en/about/30.aspx,Engineering,Alumina Refinery,Russia,Aughinish Island   Askeaton Limerick Ireland,,
Sumitomo Mitsui Finance Dublin Limited,+353 1 6700066,+353 1 6700353,www.smbcgroup.com,Financial Services,Lending, asset financing, custodial services, principal paying agency administration and special purpose company administration.,Japan
Bpv Finance (International) PLC,+353 1 6720630,+353 1 6720633,,Financial Services,Provision of financial facilities, trading in bonds, stocks, notes, commercial papers
International Living, An Agora Company,+353 51304557,+353 51304561,www.internationalliving.com,Internet,Publishing,United States of America,Woodlock House Carrick Road  Portlaw Waterford Ireland,
Mediolanum International Funds Limited,+353 1 2310800,+353 1 2310875,www.mediolanum.it,Financial Services,Fund and Asset Management,Italy,Block B  Iona Building Shelbourne Road  Dublin Dublin Ireland,,
Idex Pump Technologies (Irl) Limited,+353 61 471933,+353 61 475046,www.vikingpump.com,Engineering,Manufacture of positive displacement gear, vane, lobe and AODD pumps,United States of America,R79 Shannon Free Zone West  Shannon Clare Ireland
TE Connectivity Limerick,+353 61 472855,+353 61 470950,www.tycoelectronics.com,Engineering,R&D Insulators, Surge Arrestors & Distribution Automation, Product Management Insulators & MV Surge Arrestors, Global Operations,Switzerland
Verizon Business,+353 1 2468000,,www.cybertrust.com,,security certification and online identity solutions,,Lower Erne St   Dublin Dublin Ireland,,
Wright Medical,+353 26 21800,,,Medical Technology,Orthopaedic Implants,United States of America,Hartnett's Cross, Macroom   Macroom Cork Ireland,
Medtronic Athlone,+353 90 6441400,+353 90 6421206,www.medtronic.com,Medical Technology,Endotracheal tubes,United States of America,Cornamaddy   Athlone Westmeath Ireland,,
Intel Ireland Limited,+353 1 6067000,,www.intel.com,ICT- ICT - Hardware,Microprocessor Fabrications,United States of America,Collinstown Industrial Park   Leixlip Kildare Ireland,,
GE Healthcare,+353 214883366,+353 214883325,www.ge.com,Bio Pharmaceuticals,Contrast Media Agents,United States of America,IDA Business Park   Carrigtohill Cork Ireland,,
ICU Medical (Hospira Ireland),+353 71 9174200,+353 71 9171241,www.hospira.ie,Medical Technology,Drug delivery pumps,United States of America,Finisklin Business Park   Sligo Sligo Ireland,,
Johnson & Johnson Vision Care (Ireland),+353 61 203203,+353 61 203204,www.jnjvisioncare.com,Medical Technology,Disposable Contact Lens development & manufacture,United States of America,National Technological Park Plassey  Limerick Limerick Ireland,,
Sram Corporation Europe,+353 51310900,+353 51641688,www.sram.com,Consumer Goods,Bicycle Components,United States of America,Office 8a The Atrium Maritana Gate Canada Street Waterford Waterford Ireland,,
